beat1,beat2,corr
913,432,0.9996962971850225
1922,1231,0.9990975790627163
1914,1125,0.9989748233955478
1434,214,0.9988813168926804
1633,323,0.9983066072210447
1653,232,0.9975615691458838
1833,122,0.9972195327775919
1833,112,0.9968459883388743
2535,1421,0.9967708395220103
1532,133,0.9967146759419246
1933,1931,0.9966401132304785
1624,1134,0.9965995801437556
1232,123,0.9964086152531966
2521,824,0.99584130347716
1823,1211,0.9954452613948195
726,522,0.9953174981460926
1631,1421,0.9952943353109757
1932,1931,0.9950614797654792
1614,1014,0.9949152836721554
2022,2012,0.9947231124072413
1024,114,0.9944441569659861
835,221,0.9943967529322075
1631,1225,0.994377780941792
1814,1131,0.994280768516874
1622,1125,0.9941179087223785
1822,114,0.9936216998360826
2531,1532,0.9935651782451599
921,414,0.9931983469882721
1113,823,0.9927168770340615
2221,1925,0.9923827981192913
2233,1121,0.9918335753983777
1533,732,0.9917302475682382
1935,1833,0.9917104238094987
2213,722,0.9916376168989469
2012,523,0.991570669763045
2433,533,0.9913774059700419
2514,1234,0.9913737935384852
1935,122,0.9911536667442051
632,221,0.9908261819795313
1914,1622,0.990225241341979
922,833,0.9900684299758267
1834,1831,0.9897069507575413
122,112,0.9896954280836707
1523,1221,0.9896647622219693
2424,222,0.9896013097219122
1933,1932,0.9894369573523232
1624,522,0.9894343332338854
1631,1221,0.9893894456847598
1712,932,0.9892070480526408
1722,1631,0.989152389037749
934,412,0.9889982172188921
1421,1225,0.9889439800025329
1935,112,0.9888852796405798
2524,1221,0.9888379499736514
1811,1414,0.9888270386952365
2515,733,0.988756049483552
1225,811,0.9886225290527995
2511,911,0.9885434305008285
2514,1921,0.9884057259442227
934,933,0.9881503748174799
1433,814,0.9881460851821412
1631,822,0.9881213465229303
921,732,0.9880464623502574
1632,1413,0.9880287641091358
2431,1432,0.9879912811955609
2525,422,0.9879626085744063
1914,1713,0.987925771211434
1912,1131,0.9877464592730409
2524,822,0.9877444451608363
1921,1732,0.9876505234828552
1622,924,0.9874567911299975
725,712,0.9874328228741567
2535,1631,0.9869998565249025
1614,834,0.9867201287766243
1833,1831,0.9866591521739344
932,422,0.9865168522458998
1821,623,0.9863112326134745
2222,1533,0.9862707541367807
1912,1814,0.9862463646363044
1232,533,0.9860729542343003
2213,1655,0.9860133555630244
1821,1022,0.9858105828064874
1722,1421,0.9855084049897939
1832,111,0.9854971436671651
1022,623,0.9854752968125923
533,123,0.9853784103923694
1223,1032,0.9852951070157577
2433,123,0.9852646806764397
1433,1224,0.9851492774439159
1225,1221,0.9847128888439821
1212,1033,0.9844294300945268
1833,1024,0.9844168760420159
1523,923,0.9842761534172061
1831,122,0.9842734341773863
1824,531,0.9842330885506759
1224,814,0.9838451983143611
1834,111,0.9835572650058355
1912,1412,0.9835014521821333
1014,834,0.9833907592379815
1722,822,0.983336525199234
1011,112,0.9832281509604437
1011,114,0.9831005783270391
1712,913,0.9829866395091439
915,833,0.9829443916161238
1221,822,0.982887418755268
1934,124,0.9828279657903478
821,732,0.9826709770006845
1234,225,0.9826434399542366
1134,522,0.9826349366551552
1135,813,0.9825564658988671
2535,1225,0.9823564275580056
2023,332,0.9819276500892218
713,131,0.9818293566721263
1632,911,0.9818029239081505
1225,822,0.9817973959029392
1811,211,0.9817887990595102
1932,235,0.9817793868005397
1232,1132,0.9816542975284761
1713,1125,0.9814178224135979
2531,133,0.9813304806923504
825,735,0.9812592130622061
1611,1513,0.9812415346437138
2212,932,0.9812319590173595
921,723,0.9812297319474099
934,434,0.9811131205232517
1712,432,0.9811097704013072
2013,1814,0.9810523278960517
1024,112,0.9810381395320021
424,312,0.9809108553850509
1533,821,0.9808451147583463
2031,1212,0.9807462297198819
2433,1232,0.980671095274621
1024,122,0.9804350130851506
432,422,0.9801508421923881
2022,523,0.980115902794861
821,723,0.9798763163544526
2211,1623,0.9798469764886949
1623,924,0.9798424259973108
922,915,0.9797198399268328
1024,1011,0.9796534034568687
1934,122,0.9792306350730885
913,422,0.9791598773705494
912,321,0.9791528001247345
2031,1423,0.9790632963050987
2024,1122,0.9789978527089682
732,723,0.9787543626789094
1931,235,0.9786044310585846
2525,2212,0.9784757846717134
835,632,0.978433922574532
1511,513,0.9782885612692425
2011,234,0.978009194889344
2512,1611,0.9778658273707964
1621,633,0.9777841175314373
1912,1121,0.9777409860327538
1831,1024,0.9775030816606871
2521,1634,0.9773738951980347
1421,1221,0.9772727883023397
932,432,0.9772687630823471
1722,1225,0.9772605588156545
2523,2513,0.977218466549727
1822,1024,0.9771405048325037
1612,931,0.9771183946969785
1013,914,0.9769545347536315
1122,331,0.9769449842963579
1834,533,0.9768855379678558
1022,211,0.9768677473876544
1812,112,0.976813819564332
1414,211,0.9767607435853506
1411,233,0.9766160033561038
1624,726,0.9764745382919731
1533,723,0.9763856763391806
1814,1121,0.976361477931807
932,913,0.976338045207859
1833,1011,0.975942106154792
1523,1225,0.9758810968093946
2013,1711,0.9758026195053277
1923,1014,0.975753078971666
1115,431,0.9756601018682378
2232,133,0.9755457004555644
1114,1112,0.9754253857549566
723,414,0.975391055915755
1632,811,0.975251924419537
533,111,0.9751855500015121
1631,811,0.9750771541557383
1722,432,0.9750014730474967
1812,511,0.9749938424588899
1831,112,0.9746188305104385
2524,1631,0.9745643735228391
beat1,beat2,corr
933,434,0.9745636109328026
2525,1632,0.9743480071819318
2433,1934,0.9743219188066702
2212,422,0.9743132927902928
913,822,0.9742664952310552
932,323,0.974240644355985
2212,1633,0.9742215916295979
1712,323,0.9742186454803811
1934,533,0.9741849436892671
1722,913,0.9741112070047501
1125,924,0.9740610238199829
1923,834,0.9739706039881443
1933,511,0.9739546852198996
1731,935,0.9739242940596814
431,423,0.9738652524836521
1614,1513,0.9738329724624105
2514,912,0.9738274564888779
2534,321,0.9737374846605558
212,121,0.9735248888573329
2525,432,0.9733072820064796
1611,1034,0.9733063639019347
2212,432,0.9732114557572065
822,432,0.9730623765716574
2424,1724,0.9729995494301599
1921,1234,0.9729573367309208
1633,932,0.9729220064554291
825,421,0.9728119039740513
822,811,0.9725488049443122
1834,1832,0.9724335095098648
2234,714,0.972359821022216
1431,214,0.9722361566914542
2535,1221,0.9722191658997271
1132,123,0.9721704577791331
1235,311,0.9721135756875573
2222,732,0.9720416186079859
1832,533,0.9719745397863679
1531,1522,0.9719540209936329
1011,122,0.971816339240379
1421,1234,0.9717212828366697
934,922,0.9715667785728269
1033,433,0.9715232443297933
1814,1711,0.971329643406962
2212,323,0.9712356475255707
123,111,0.9710925814433475
1232,111,0.9710463880969448
1413,911,0.9707729421294988
1935,1831,0.9707232188912207
1733,1624,0.9706467245380614
2031,1033,0.9706449465042554
2535,1234,0.9706418974911333
1654,1213,0.970578416107379
1722,811,0.9705636785937148
1935,1812,0.9704888935091122
114,112,0.9704503485389581
922,412,0.9704483200055862
2433,1214,0.9702872179008207
1724,222,0.9702505314004516
2232,414,0.9701747492795582
1522,922,0.969896125070753
1655,722,0.9697808072952687
913,912,0.9695555391006285
2013,1131,0.969489860701773
2525,913,0.9694654374206655
1421,822,0.969421160144016
1613,812,0.9693170440588963
725,232,0.9692222195242542
1822,1011,0.9691379857807955
1914,924,0.9690104806485565
1712,422,0.9689947408336913
2535,1722,0.9689686595698795
1134,726,0.9688986217951534
1222,1115,0.9687758743367114
732,414,0.9686650514013329
1923,1614,0.9685203272889171
1114,1012,0.9684524116219124
2515,724,0.9684448824624294
2523,832,0.9683108289365705
1824,1412,0.9682744359962362
2212,1731,0.9681843677806657
2212,913,0.9680738750450871
1834,123,0.9680224215003439
1011,621,0.9679760746820119
2512,1513,0.9679279792960682
1622,1511,0.9678360675525325
1631,1523,0.9678280613957271
731,333,0.9677414810350178
933,412,0.9676317720559717
1215,834,0.9675999114049834
921,821,0.9675923767231935
1833,114,0.9674803424710924
1131,1121,0.9673556975064236
414,133,0.9672991542959953
2525,822,0.9671017871690021
1712,912,0.9668376033992229
2531,312,0.9668214050379438
1811,124,0.9667585759504909
2524,1523,0.9666279211212953
2525,811,0.9665596609431756
726,232,0.9665149220213077
1653,312,0.96649845774225
1434,1431,0.9664416424227089
933,915,0.9663467092055232
1421,811,0.9663448847413816
1524,1432,0.9662213560950516
1124,815,0.9662206891867979
2514,321,0.966184166489034
1932,511,0.966118843277869
934,915,0.9661001147103826
2424,2411,0.9660731493448551
2233,2032,0.9660619433648752
2031,433,0.9659337253948372
2222,431,0.9658512606617733
1733,1633,0.9657490944585091
1422,923,0.9655488425285504
1133,712,0.9653912226148856
2532,424,0.9653210306711386
1134,924,0.9651928675976005
1712,1633,0.9651847544762104
1522,833,0.9651254060411923
1533,921,0.9650581615021774
2522,133,0.9650422396223741
833,412,0.9649917878617567
2211,1731,0.9649892818175557
1633,522,0.9649826419106102
634,211,0.9648424616518448
1033,524,0.9647413731983674
1513,1014,0.9646930812977017
2512,1614,0.964523459426768
2432,313,0.9644878998775679
1633,1624,0.9644607569849383
1931,511,0.9643981828133609
1111,312,0.9642987235122524
1532,414,0.9641927140128994
825,724,0.9640664065763869
734,421,0.9636348614323409
912,432,0.9636128733659514
1523,933,0.9635252556895062
1822,621,0.9633889582128725
2431,1524,0.9633320657701296
822,422,0.9632478455957849
2531,1111,0.9632205789578224
1033,225,0.9631968454386832
1934,1834,0.9631001687301572
2232,1652,0.9630856242025091
1934,1831,0.9630695316563692
1934,1833,0.9630189186862107
2031,225,0.963007270355755
2522,2521,0.9628798156114748
1933,235,0.9628354702670785
1653,821,0.9628249394418316
2534,2532,0.9623991216590273
2514,225,0.9622485476920725
2522,1532,0.962140509413776
2525,932,0.9621101148094026
2232,921,0.9620218618678117
2433,1834,0.9619514481774603
1834,1024,0.9618510687158496
1631,1234,0.961766493308922
1235,614,0.9616053664771542
924,513,0.9615742110132445
1823,923,0.9615719470687986
821,414,0.9615513471717497
1713,935,0.9615196354226608
1523,915,0.9614284188188592
1111,932,0.9613623584338349
1722,1221,0.9611827321301376
2524,1225,0.9611480740174239
1833,1812,0.9611005326193323
312,232,0.961017286737465
2232,1532,0.9609880319425428
1634,824,0.9609411424062593
2033,1915,0.9608148505343787
1924,1512,0.9606447992479662
1433,213,0.9606387847683124
1653,1111,0.9606209199292446
1932,1915,0.9606126518468081
1935,511,0.9603610191904537
1834,122,0.960351020602439
1921,912,0.9603030575345528
1814,1412,0.9602532308159816
1532,312,0.9602494028008758
1921,225,0.9602050563475003
1711,121,0.9601336593057475
1913,922,0.9600785274209567
1914,323,0.9600162932269055
2512,1034,0.9599266614063586
1624,924,0.9597282219107336
beat1,beat2,corr
1511,924,0.9596919256371206
733,723,0.9596472635019567
1911,621,0.9595907011569061
122,114,0.9595442679679065
735,421,0.9595346956720077
2212,1733,0.9594624053890329
2534,912,0.9593735198400886
2535,1823,0.9592853722163782
1424,1213,0.9592322358982125
1823,1221,0.9591535491143928
1111,232,0.9589401189160054
1224,213,0.9588960124620951
2011,511,0.9588698081992417
2431,1215,0.9587257337422105
1413,713,0.9586979446979564
1713,1622,0.9585536247060499
1212,433,0.9585396491809102
1713,323,0.9584459965652542
1935,1011,0.9583469439599064
2525,833,0.9582033062084198
224,113,0.9581990283317318
1624,1623,0.9580696381895603
1732,1713,0.9580017956222492
1133,725,0.9579806290126688
1523,822,0.9579224589209643
1722,1234,0.9579094029326716
2013,121,0.9577553410922115
1834,1833,0.9577219518224303
1231,234,0.9576819721009363
432,323,0.9576077055099741
1731,323,0.9575122520566101
2524,912,0.9573945472802765
1623,1134,0.9569641853387241
1832,623,0.9568121681629229
1823,1523,0.9566825645198873
2212,1712,0.9564731968443472
2233,1814,0.9564147219514192
2534,314,0.9563129307913883
1511,1125,0.9562440886905482
1934,1024,0.9561975599237909
1412,1131,0.9561684483118896
2525,911,0.9561476614170619
511,234,0.9561048708954063
2524,1722,0.9559644793226738
1731,1633,0.9558613821187928
1612,1512,0.9556304030359486
726,725,0.9555989655869932
2535,1523,0.9555002446826554
433,221,0.9554688250244178
2433,1024,0.9553352070013127
1834,1232,0.9553167602065502
913,323,0.9551282685229386
1111,422,0.9549997318025254
1221,923,0.9549866538703805
934,833,0.9549623756294882
2525,1722,0.9549277096248091
933,923,0.954703260314379
2032,1121,0.9546799015952939
1653,725,0.9545050803434528
1523,1421,0.9543748774742857
2234,513,0.9542466712817628
1935,1024,0.954208744041568
2535,225,0.9540501549664329
2514,1722,0.9540419870601211
2032,1412,0.9538960090192775
833,811,0.9537704806393674
823,732,0.9535939375573934
1915,1812,0.953152607357029
2233,1711,0.9529755177682132
522,323,0.9529083311425468
1221,811,0.95289493298345
2524,913,0.9528418063403067
2531,2522,0.9527596481988253
1935,1934,0.9525290597703707
2514,1732,0.9524944164435711
2524,321,0.9523696691514044
1421,225,0.9523651182040308
1733,1134,0.9523561921522324
821,232,0.9523018423743731
1613,613,0.9522428678841732
2535,811,0.9522011252826506
623,211,0.9520548984569738
2211,1733,0.9520403800160996
1831,114,0.9519502219780706
2524,1421,0.9518115895843839
1733,323,0.9515092732018721
1922,234,0.9514623024993688
1915,523,0.9513955117690317
1733,1731,0.951350608880015
434,412,0.9513092336681526
621,114,0.9513086404310641
714,611,0.951183764627812
1624,323,0.951057147545765
915,412,0.9507740525554707
1115,613,0.9506601745335539
1652,711,0.9506401628799839
2423,224,0.9506237085074943
2535,822,0.9506099438263371
2514,1421,0.9505556392631475
2233,1912,0.9505038597297639
921,823,0.9503729919217073
632,433,0.9502906712749785
2512,1014,0.9502893909820033
1125,323,0.9501420541023005
2532,1712,0.9500637904312804
2413,1114,0.9500489884205314
1913,1522,0.9500203579367263
1112,1012,0.9499713765186663
2032,1711,0.9497351541983263
2514,1631,0.9497004099425147
1914,1633,0.9493341156908865
1733,1623,0.9492141960708855
1031,812,0.949087303466828
1233,1112,0.949072022321168
1831,111,0.9489712300185484
1812,1011,0.9488610369111304
1823,1234,0.9487053850550469
1653,726,0.9485121222558148
1913,1531,0.9484784992768385
2013,1121,0.9483520964717592
1934,1214,0.9483344455426401
1923,1612,0.9483254170334823
211,124,0.9483088935938484
2534,2522,0.9482077595987535
1831,533,0.9481058528654257
1113,412,0.9480961518481049
1631,913,0.9479827257874228
1731,432,0.9478919650148501
2524,432,0.9478413052514325
1733,522,0.9478236916980256
1633,432,0.9474940507548607
2222,613,0.9471208172841751
1631,432,0.9470401988119576
2512,834,0.9469344799150406
2032,1912,0.9469211804512472
1234,1221,0.946885798966304
1622,323,0.9467851818425079
1522,1111,0.9467617350535774
833,822,0.9467588309350493
2532,2513,0.9466827963641471
1233,413,0.9465980795663969
833,422,0.9465311586487943
2211,935,0.9464285290250891
532,114,0.9462708164555252
1211,923,0.9462459809388694
2411,222,0.9458874780025693
1115,423,0.9458796418050852
2411,1911,0.9458634512309823
2532,1914,0.945821738256348
524,433,0.9457378343960063
1711,1121,0.9457239568811839
2222,1115,0.9457143046744794
2433,111,0.9456615092018005
1434,1424,0.9456549540890744
1934,1832,0.9454418888724373
1513,1034,0.9454227037614787
2531,414,0.9453739358607642
915,811,0.9453368694037686
2212,1632,0.9453142680109825
935,524,0.9452482246215538
2511,1632,0.9452112937791103
2524,2514,0.9451201584636504
2032,221,0.9451136746871528
723,711,0.9450592246350069
1654,1424,0.9450200438494171
2513,832,0.9449572396102779
1613,1531,0.9449153354633082
1114,223,0.9449140549685883
1812,122,0.9448332055220747
312,133,0.9447296173451537
1921,321,0.9445977861482707
932,312,0.9444551255602082
2033,2012,0.9444185184699218
1651,715,0.9442715356548333
1832,1232,0.9440833927448883
1633,726,0.9440028454783999
1622,1134,0.9439766294975579
912,822,0.9439517647414634
1633,913,0.9439290235533534
1412,813,0.9439189673111307
1411,1135,0.9437762545821712
1523,811,0.9436390970220155
1823,1421,0.9435496310376428
1413,811,0.9434155090587615
